Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 15:33:40,2018-11-22 15:34:15,34.944s,FAILED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 15:33:41,2018-11-22 15:34:13,32.186s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 15:33:41,2018-11-22 15:34:13,31.786s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 15:34:13,2018-11-22 15:34:15,2.005s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:34:13,2018-11-22 15:34:13,0.017s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 15:34:13,2018-11-22 15:34:15,1.752s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.008s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.001s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.025s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.269s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.007s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Community/Get All Communities),Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.006s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.001s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.073s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:34:15,2018-11-22 15:34:15,0.003s,FAILED
