Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 15:57:55,2018-11-22 15:58:30,34.685s,FAILED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 15:57:56,2018-11-22 15:58:28,32.599s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 15:57:56,2018-11-22 15:58:28,32.209s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 15:58:28,2018-11-22 15:58:30,1.337s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:58:29,2018-11-22 15:58:29,0.013s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 15:58:29,2018-11-22 15:58:30,1.096s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.008s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.001s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.026s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.234s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.005s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DEMO/Community/Get All Communities),Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.008s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.002s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 15:58:30,2018-11-22 15:58:30,0.002s,FAILED
