Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 16:07:51,2018-11-22 16:08:27,35.317s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 16:07:52,2018-11-22 16:08:23,31.725s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 16:07:52,2018-11-22 16:08:23,31.332s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 16:08:23,2018-11-22 16:08:25,1.341s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 16:08:24,2018-11-22 16:08:24,0.014s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 16:08:24,2018-11-22 16:08:25,1.015s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:25,0.026s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:25,0.001s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:25,0.047s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:27,1.768s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:25,0.007s,PASSED
"Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DEMO/Community/Get All Communities, [host:internal.GlobalVariable.g_URL])",Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:25,0.005s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:25,0.001s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 16:08:25,2018-11-22 16:08:27,1.465s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 16:08:27,2018-11-22 16:08:27,0.002s,PASSED
containsString,Chrome 70.0.3538.102,,2018-11-22 16:08:27,2018-11-22 16:08:27,0.009s,PASSED
