Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.77,,2018-11-08 14:53:30,2018-11-08 14:54:13,42.837s,PASSED
,,,,,,
Test Cases/TestCases/Demo/EsbToken,Chrome 70.0.3538.77,,2018-11-08 14:53:31,2018-11-08 14:54:07,36.144s,PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-08 14:53:31,2018-11-08 14:54:07,35.542s,PASSED
,,,,,,
Test Cases/TestCases/Demo/Create Community,Chrome 70.0.3538.77,,2018-11-08 14:54:07,2018-11-08 14:54:09,2.243s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.77,,2018-11-08 14:54:07,2018-11-08 14:54:07,0.052s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.77,,2018-11-08 14:54:07,2018-11-08 14:54:09,1.626s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:09,0.008s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:09,0.002s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:09,0.043s,PASSED
,,,,,,
Test Cases/TestCases/Demo/Get all Communities,Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:12,3.455s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:09,0.005s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Community/Get All Communities),Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:09,0.013s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:09,0.001s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.77,,2018-11-08 14:54:09,2018-11-08 14:54:12,2.981s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.77,,2018-11-08 14:54:12,2018-11-08 14:54:12,0.002s,PASSED
containsString,Chrome 70.0.3538.77,,2018-11-08 14:54:12,2018-11-08 14:54:12,0.016s,PASSED
