Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 16:04:06,2018-11-22 16:04:34,27.490s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 16:04:07,2018-11-22 16:04:32,25.461s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 16:04:07,2018-11-22 16:04:32,24.987s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 16:04:32,2018-11-22 16:04:33,1.083s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 16:04:32,2018-11-22 16:04:32,0.014s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 16:04:32,2018-11-22 16:04:33,0.798s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:33,0.007s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:33,0.002s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:33,0.028s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:34,0.468s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:33,0.005s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DEMO/Community/Get All Communities),Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:33,0.007s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:33,0.001s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 16:04:33,2018-11-22 16:04:34,0.231s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 16:04:34,2018-11-22 16:04:34,0.002s,PASSED
containsString,Chrome 70.0.3538.102,,2018-11-22 16:04:34,2018-11-22 16:04:34,0.009s,PASSED
