Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 15:55:48,2018-11-22 15:56:19,30.640s,FAILED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 15:55:49,2018-11-22 15:56:16,27.786s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 15:55:49,2018-11-22 15:56:16,27.350s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 15:56:16,2018-11-22 15:56:19,2.147s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:56:17,2018-11-22 15:56:17,0.012s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 15:56:17,2018-11-22 15:56:19,1.887s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.007s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.006s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.022s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.209s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.005s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DEMO/Community/Get All Communities),Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.005s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.001s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 15:56:19,2018-11-22 15:56:19,0.003s,FAILED
