Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 15:55:03,2018-11-22 15:55:33,29.888s,FAILED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 15:55:04,2018-11-22 15:55:32,27.747s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 15:55:04,2018-11-22 15:55:32,27.390s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 15:55:32,2018-11-22 15:55:33,1.249s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:55:32,2018-11-22 15:55:32,0.014s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 15:55:32,2018-11-22 15:55:33,0.915s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.006s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.002s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.027s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.179s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.005s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DEMO/Community/Get All Communities),Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.006s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.001s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 15:55:33,2018-11-22 15:55:33,0.004s,FAILED
