Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
demo,Chrome 70.0.3538.102,,2018-11-22 15:46:31,2018-11-22 15:47:02,31.505s,FAILED
,,,,,,
Test Cases/DEMO/TestCases/Demo/EsbToken,Chrome 70.0.3538.102,,2018-11-22 15:46:31,2018-11-22 15:47:01,29.367s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-22 15:46:32,2018-11-22 15:47:01,28.907s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Create Community,Chrome 70.0.3538.102,,2018-11-22 15:47:01,2018-11-22 15:47:02,1.235s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:47:01,2018-11-22 15:47:01,0.013s,PASSED
"Statement - response = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(DEMO/Library/Demo/Create Community), [""communityName"":data.getValue(""CommunityName"", 1), ""CommunityDesc"":data.getValue(""CommunityDesc"", 1), ""allowDiscussionBoards"":true, ... ], STOP_ON_FAILURE)",Chrome 70.0.3538.102,,2018-11-22 15:47:01,2018-11-22 15:47:02,0.972s,PASSED
Statement - CommunityID = id,Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.010s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.001s,PASSED
verifyElementPropertyValue,Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.025s,PASSED
,,,,,,
Test Cases/DEMO/TestCases/Demo/Get all Communities,Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.394s,FAILED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData),Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.008s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(DEMO/Community/Get All Communities),Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.010s,PASSED
Statement - request.setHttpHeaderProperties(CustomKeywords.validations.Assertions.AddHeaders()),Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.005s,PASSED
Statement - res = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.088s,PASSED
verifyResponseStatusCode,Chrome 70.0.3538.102,,2018-11-22 15:47:02,2018-11-22 15:47:02,0.003s,FAILED
